Simbolo,Descrizione,Prezzo,Prezzo - Valuta,Settore,Capitalizzazione di mercato,Capitalizzazione di mercato - Valuta,Borsa del mercato
HIK,Hikma Pharmaceuticals Plc,1612,GBX,Tecnologia sanitaria,4850878158.882,USD,
EZJ,easyJet plc,473.595,GBX,Trasporti,4827726611.8884,USD,
LAGR_B,Lagercrantz Group AB Class B,214.8,SEK,Tecnologia elettronica,4811333495.9914,USD,
SFZN,Siegfried Holding AG,81.5,CHF,Tecnologia sanitaria,4768120560.3456,USD,
GL9,Glanbia PLC,16.41,EUR,Beni di consumo non durevoli,4712705951.270101,USD,
ADEN,Adecco Group AG,21.34,CHF,Servizi commerciali,4649299170.6918,USD,
ENG,Enagas SA,14.945,EUR,Utenze,4588346650.9778,USD,
SUNN,Sunrise Communications AG Class A,48.32,CHF,Comunicazione,4502590702.4826,USD,
BWY,Bellway p.l.c.,2834,GBX,Beni di consumo durevoli,4479743643.5831995,USD,
NEXI,Nexi S.p.A.,3.299,EUR,Servizi commerciali,4463035542.831901,USD,
RS1,RS Group PLC,695,GBX,Servizi di distribuzione,4449415429.8804,USD,
AALB,Aalberts N.V.,34.82,EUR,Servizi commerciali,4446863797.8422,USD,
MF,Wendel SE,89.8,EUR,Finanza,4435962199.71545,USD,
RMV,Rightmove plc,435.6,GBX,Servizi tecnologici,4430259264.8856,USD,
ZEAL,Zealand Pharma A/S,385.7,DKK,Tecnologia sanitaria,4398144308.9298,USD,
RUI,Rubis SCA,35.5,EUR,Servizi di distribuzione,4370125503.0372,USD,
MANTA,Mandatum Oyj,7.398,EUR,Finanza,4362159318.06625,USD,
AED,Aedifica SA,77.25,EUR,Finanza,4344073225.33385,USD,
HUBN,Huber + Suhner AG,181.6,CHF,Tecnologia elettronica,4328544253.5444,USD,
FNTN,freenet AG,31.04,EUR,Comunicazione,4305778106.59335,USD,
INCH,Inchcape plc,882.8,GBX,Servizi di distribuzione,4270125731.6748,USD,
ROR,Rotork plc,385.2,GBX,Filiera di fabbricazione,4268668132.4771996,USD,
MYCR,Mycronic AB,198.26,SEK,Filiera di fabbricazione,4259213412.4028997,USD,
UTG,UNITE Group plc,579.5,GBX,Finanza,4238960729.7948,USD,
ACP,Asseco Poland S.A.,183.1,PLN,Servizi tecnologici,4210812982.3325,USD,
PLUS,Plus500 Ltd.,4310,GBX,Finanza,4109497323.3588,USD,
EMG,Man Group PLC,272.6,GBX,Finanza,4109172030.2376,USD,
COFB,Cofinimmo SA,91.2,EUR,Finanza,4088746373.3011003,USD,
ITV,ITV PLC,80.55,GBX,Servizi al consumatore,4058115123.6239996,USD,
WPP,WPP Plc,277.3,GBX,Servizi commerciali,4034129870.4143996,USD,
SECT_B,Sectra AB Class B,186,SEK,Servizi tecnologici,4031431955.565,USD,
FTK,flatexDEGIRO AG,30.82,EUR,Finanza,4022064000.4718003,USD,
PUM,PUMA SE,23.57,EUR,Beni di consumo non durevoli,4019902310.52915,USD,
SRP,Serco Group plc,297.4,GBX,Servizi commerciali,3983656025.85,USD,
DRX,Drax Group plc,868,GBX,Utenze,3951642312.2279997,USD,
WIE,Wienerberger AG,30.74,EUR,Minerali non energetici,3933684227.3473,USD,
REY,Reply S.p.A.,89.6,EUR,Servizi commerciali,3932644073.9900503,USD,
RF,Eurazeo SE,49.92,EUR,Finanza,3907306785.461,USD,
SHC,Shaftesbury Capital PLC,149,GBX,Finanza,3902375274.4584,USD,
CWK,Cranswick plc,5370,GBX,Beni di consumo non durevoli,3900839779.9379997,USD,
HUH1V,Huhtamaki Oyj,31.48,EUR,Industrie di trasformazione,3862988441.97065,USD,
HIAB,Hiab Oyj Class B,49.38,EUR,Filiera di fabbricazione,3789113455.4151,USD,
PHP,Primary Health Properties PLC,107.1,GBX,Finanza,3748937468.3831997,USD,
FR,Valeo SE,12.815,EUR,Filiera di fabbricazione,3741272892.0371003,USD,
MOBN,Mobimo Holding AG,386.5,CHF,Finanza,3717002820.6456,USD,
TOM,TOMRA Systems ASA,118.1,NOK,Filiera di fabbricazione,3713951114.64234,USD,
PNN,Pennon Group Plc,580.5,GBX,Utenze,3710255660.1636,USD,
TEP,Teleperformance SE,52.26,EUR,Servizi commerciali,3667543670.32025,USD,
CMBN,Cembra Money Bank AG,97.5,CHF,Finanza,3649936650.1488,USD,
QQ.,QinetiQ Group plc,512,GBX,Tecnologia elettronica,3647595321.9108,USD,
TEG,TAG Immobilien AG,16.19,EUR,Finanza,3605344170.0316,USD,
VID,Vidrala SA,85.8,EUR,Industrie di trasformazione,3553048089.612,USD,
AMP,Amplifon SpA,13.245,EUR,Servizi di distribuzione,3504915438.1609,USD,
CAMX,Camurus AB,518.5,SEK,Tecnologia sanitaria,3504293168.1128,USD,
TBCG,TBC Bank Group Plc,4748.3,GBX,Finanza,3503294947.2827997,USD,
KEMIRA,Kemira Oyj,19.82,EUR,Industrie di trasformazione,3455131274.88065,USD,
QLT,Quilter Plc,193.8,GBX,Finanza,3424114752.5676,USD,
AMBU_B,Ambu A/S Class B,80.65,DKK,Tecnologia sanitaria,3399275677.3118,USD,
LOOMIS,Loomis AB,448.8,SEK,Servizi commerciali,3270184965.1058,USD,
WALL_B,Wallenstam AB Class B,44.96,SEK,Finanza,3255325997.4795,USD,
VIS,"Viscofan, S.A.",57.8,EUR,Industrie di trasformazione,3173134601.91015,USD,
WIHL,Wihlborgs Fastigheter AB,92.45,SEK,Finanza,3128603684.5966,USD,
MTO,MITIE Group PLC,180.808,GBX,Servizi commerciali,3120219535.7004,USD,
BPT,Bridgepoint Group Plc,260.6,GBX,Finanza,3092940745.3956,USD,
